id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Unnamed: 0,genre_ids,popularity,title,vote_average,vote_count,weighted_rating
69,2012-09-28,Looper,30000000,66486205,170466405,5207,"Action, Thriller, Science Fiction",16.779,Looper,6.8,6723,6.831019672742452
69,2012-09-28,Looper,30000000,66486205,170466405,5220,"Animation, Comedy, Family, Fantasy",15.318,Hotel Transylvania,6.9,5013,6.900200209419053
69,2012-09-28,Looper,30000000,66486205,170466405,5239,"Comedy, Music, Romance",13.886,Pitch Perfect,7.3,4233,7.134315536855366
75,2012-09-28,Pitch Perfect,17000000,65001093,116044347,5207,"Action, Thriller, Science Fiction",16.779,Looper,6.8,6723,6.831019672742452
75,2012-09-28,Pitch Perfect,17000000,65001093,116044347,5220,"Animation, Comedy, Family, Fantasy",15.318,Hotel Transylvania,6.9,5013,6.900200209419053
75,2012-09-28,Pitch Perfect,17000000,65001093,116044347,5239,"Comedy, Music, Romance",13.886,Pitch Perfect,7.3,4233,7.134315536855366
49,2012-09-28,Won't Back Down,19000000,5310554,5745503,5207,"Action, Thriller, Science Fiction",16.779,Looper,6.8,6723,6.831019672742452
49,2012-09-28,Won't Back Down,19000000,5310554,5745503,5220,"Animation, Comedy, Family, Fantasy",15.318,Hotel Transylvania,6.9,5013,6.900200209419053
49,2012-09-28,Won't Back Down,19000000,5310554,5745503,5239,"Comedy, Music, Romance",13.886,Pitch Perfect,7.3,4233,7.134315536855366
53,2012-09-28,The Other Dream Team,500000,134109,314444,5207,"Action, Thriller, Science Fiction",16.779,Looper,6.8,6723,6.831019672742452
53,2012-09-28,The Other Dream Team,500000,134109,314444,5220,"Animation, Comedy, Family, Fantasy",15.318,Hotel Transylvania,6.9,5013,6.900200209419053
53,2012-09-28,The Other Dream Team,500000,134109,314444,5239,"Comedy, Music, Romance",13.886,Pitch Perfect,7.3,4233,7.134315536855366
44,2018-12-14,Spider-Man: Into The Spider-Verse 3D,90000000,190173195,375381768,23812,"Action, Adventure, Animation, Science Fiction, Comedy",60.534,Spider-Man: Into the Spider-Verse,8.4,4048,7.761748620612212
100,2018-12-14,The Mule,50000000,103804407,170857676,23812,"Action, Adventure, Animation, Science Fiction, Comedy",60.534,Spider-Man: Into the Spider-Verse,8.4,4048,7.761748620612212
4,2018-12-14,Mortal Engines,100000000,15951040,85287417,23812,"Action, Adventure, Animation, Science Fiction, Comedy",60.534,Spider-Man: Into the Spider-Verse,8.4,4048,7.761748620612212
96,2018-12-14,If Beale Street Could Talk,12000000,14915773,19859167,23812,"Action, Adventure, Animation, Science Fiction, Comedy",60.534,Spider-Man: Into the Spider-Verse,8.4,4048,7.761748620612212
1,2018-12-14,That Way Madness Lies,650000,1447,1447,23812,"Action, Adventure, Animation, Science Fiction, Comedy",60.534,Spider-Man: Into the Spider-Verse,8.4,4048,7.761748620612212
52,2011-12-21,The Adventures of Tintin,130000000,77591831,373993951,2483,"Action, Thriller, Adventure",18.304,Mission: Impossible - Ghost Protocol,7.0,6102,6.9672164664991065
67,2011-12-21,Albert Nobbs,7500000,3014696,8539003,2483,"Action, Thriller, Adventure",18.304,Mission: Impossible - Ghost Protocol,7.0,6102,6.9672164664991065
97,2018-02-09,Fifty Shades Freed,55000000,100407760,371350619,23882,"Drama, Romance",22.512,Fifty Shades Freed,6.1,3535,6.467498741863025
97,2018-02-09,Peter Rabbit,50000000,115234093,347136477,23882,"Drama, Romance",22.512,Fifty Shades Freed,6.1,3535,6.467498741863025
23,2018-02-09,The 15:17 to Paris,30000000,36276286,56096200,23882,"Drama, Romance",22.512,Fifty Shades Freed,6.1,3535,6.467498741863025
10,2011-07-22,Captain America: The First Avenger,140000000,176654505,370569776,2474,"Action, Adventure, Science Fiction",25.808000000000003,Captain America: The First Avenger,6.9,12810,6.900101472364002
55,2011-07-22,Friends with Benefits,35000000,55802754,146595891,2474,"Action, Adventure, Science Fiction",25.808000000000003,Captain America: The First Avenger,6.9,12810,6.900101472364002
68,2011-07-22,Elle s'appelait Sarah,14500000,7691700,25480031,2474,"Action, Adventure, Science Fiction",25.808000000000003,Captain America: The First Avenger,6.9,12810,6.900101472364002
48,2011-07-22,Another Earth,175000,1321194,2102779,2474,"Action, Adventure, Science Fiction",25.808000000000003,Captain America: The First Avenger,6.9,12810,6.900101472364002
95,2014-06-06,Edge of Tomorrow,178000000,100206256,370541256,11051,"Action, Science Fiction",19.753,Edge of Tomorrow,7.6,8047,7.410048364087522
43,2014-06-06,The Fault in Our Stars,12000000,124872350,307166834,11051,"Action, Science Fiction",19.753,Edge of Tomorrow,7.6,8047,7.410048364087522
41,2014-06-06,Obvious Child,1000000,3122616,3324070,11051,"Action, Science Fiction",19.753,Edge of Tomorrow,7.6,8047,7.410048364087522
64,2014-06-06,Anna,4357373,0,1200000,11051,"Action, Science Fiction",19.753,Edge of Tomorrow,7.6,8047,7.410048364087522
89,2014-06-06,Test,250000,18823,18823,11051,"Action, Science Fiction",19.753,Edge of Tomorrow,7.6,8047,7.410048364087522
75,2015-05-15,Mad Max: Fury Road,150000000,153636354,370098020,14177,"Action, Adventure, Science Fiction",28.099,Mad Max: Fury Road,7.4,14454,7.314151729006237
75,2015-05-15,Mad Max: Fury Road,150000000,153636354,370098020,14210,"Comedy, Music",18.469,Pitch Perfect 2,6.8,3599,6.845704542820863
14,2015-05-15,Pitch Perfect 2,29000000,184296230,287625468,14177,"Action, Adventure, Science Fiction",28.099,Mad Max: Fury Road,7.4,14454,7.314151729006237
14,2015-05-15,Pitch Perfect 2,29000000,184296230,287625468,14210,"Comedy, Music",18.469,Pitch Perfect 2,6.8,3599,6.845704542820863
81,2015-05-15,Area 51,5000000,7556,7556,14177,"Action, Adventure, Science Fiction",28.099,Mad Max: Fury Road,7.4,14454,7.314151729006237
81,2015-05-15,Area 51,5000000,7556,7556,14210,"Comedy, Music",18.469,Pitch Perfect 2,6.8,3599,6.845704542820863
97,2015-05-15,Childless,1000000,1036,1036,14177,"Action, Adventure, Science Fiction",28.099,Mad Max: Fury Road,7.4,14454,7.314151729006237
97,2015-05-15,Childless,1000000,1036,1036,14210,"Comedy, Music",18.469,Pitch Perfect 2,6.8,3599,6.845704542820863
76,2015-05-15,Pound of Flesh,7500000,0,0,14177,"Action, Adventure, Science Fiction",28.099,Mad Max: Fury Road,7.4,14454,7.314151729006237
76,2015-05-15,Pound of Flesh,7500000,0,0,14210,"Comedy, Music",18.469,Pitch Perfect 2,6.8,3599,6.845704542820863
36,2014-10-03,Gone Girl,61000000,167767189,368567189,11027,"Mystery, Thriller, Drama",31.215,Gone Girl,7.9,10459,7.677220022146883
