Movie ID,Primary Title,Movie Length,Genres,Average Rating,Num of Votes,Primary Name,Position
tt3748528,Rogue One: A Star Wars Story,133.0,"Action,Adventure,Sci-Fi",7.8,478592,George Lucas,writer
tt2350496,The Lunchbox,104.0,"Drama,Romance",7.8,42618,Lillete Dubey,actress
tt2531318,The Beatles: Eight Days a Week - The Touring Years,106.0,"Documentary,Music",7.8,9666,Ron Howard,director
tt1596363,The Big Short,130.0,"Biography,Comedy,Drama",7.8,309227,Brad Pitt,actor
tt2317337,Vicky Donor,126.0,"Comedy,Romance",7.8,35465,Dolly Ahluwalia,actress
tt2306745,Sound City,107.0,"Documentary,Music",7.8,11439,Paul Crowder,editor
tt2245084,Big Hero 6,102.0,"Action,Adventure,Animation",7.8,371204,Scott Adsit,actor
tt1170358,The Hobbit: The Desolation of Smaug,161.0,"Adventure,Fantasy",7.8,565563,Peter Jackson,director
tt1490017,The Lego Movie,100.0,"Action,Adventure,Animation",7.8,304179,Will Ferrell,actor
tt1316540,The Turin Horse,155.0,Drama,7.8,13459,Erika Bók,actress
tt5463162,Deadpool 2,119.0,"Action,Adventure,Comedy",7.8,391735,Josh Brolin,actor
tt1527788,The Man from Nowhere,119.0,"Action,Drama,Thriller",7.8,55247,Sang-beom Kim,editor
tt2404461,The Past,130.0,"Drama,Mystery",7.8,41191,Bérénice Bejo,actress
tt2013293,The Wind Rises,126.0,"Animation,Biography,Drama",7.8,60943,Hideaki Anno,actor
tt1535109,Captain Phillips,134.0,"Biography,Drama,Thriller",7.8,387402,Tom Hanks,actor
tt3498820,Captain America: Civil War,147.0,"Action,Adventure,Sci-Fi",7.8,583507,Robert Downey Jr.,actor
tt2608224,The Butterfly's Dream,138.0,"Biography,Drama,History",7.8,17019,Necati Akpinar,producer
tt2582496,Me and Earl and the Dying Girl,105.0,"Comedy,Drama,Romance",7.8,112627,Alfonso Gomez-Rejon,director
tt1074638,Skyfall,143.0,"Action,Adventure,Thriller",7.8,592221,Javier Bardem,actor
tt2870648,Amy,128.0,"Biography,Documentary,Music",7.8,43814,James Gay-Rees,producer
tt3841424,Land of Mine,100.0,"Drama,History,War",7.8,28287,Malte Grunert,producer
tt1924396,The Best Offer,131.0,"Crime,Drama,Mystery",7.8,96073,Donald Sutherland,actor
tt0964517,The Fighter,116.0,"Biography,Drama,Sport",7.8,316539,Mark Wahlberg,actor
tt4912910,Mission: Impossible - Fallout,147.0,"Action,Adventure,Thriller",7.8,233877,Tom Cruise,actor
tt2194499,About Time,123.0,"Comedy,Drama,Fantasy",7.8,263136,Nicky Kentish Barnes,producer
tt2278871,Blue Is the Warmest Color,180.0,"Drama,Romance",7.8,124409,Abdellatif Kechiche,director
tt0398286,Tangled,100.0,"Adventure,Animation,Comedy",7.8,366366,Ron Perlman,actor
tt2258337,Eega,145.0,"Action,Comedy,Fantasy",7.8,19096,Crazy Mohan,writer
tt6878038,A Taxi Driver,137.0,"Action,Drama,History",7.8,9301,Thomas Kretschmann,actor
