id,release_date,movie,production_budget,domestic_gross,worldwide_gross,genre_ids,popularity,title,vote_average,vote_count
80,2015-07-10,The Gallows,100000,22764410,41656474,"Family, Animation, Adventure, Comedy",9.338,Minions,6.4,7343
80,2015-07-10,The Gallows,100000,22764410,41656474,"Horror, Thriller",9.166,The Gallows,4.8,591
80,2015-07-10,The Gallows,100000,22764410,41656474,"Comedy, Drama",6.94,Tangerine,7.0,314
48,2015-07-10,Self/Less,26000000,12279691,33667319,"Science Fiction, Mystery, Thriller",19.131,Self/less,6.3,1815
48,2015-07-10,Self/Less,26000000,12279691,33667319,"Family, Animation, Adventure, Comedy",9.338,Minions,6.4,7343
48,2015-07-10,Self/Less,26000000,12279691,33667319,"Horror, Thriller",9.166,The Gallows,4.8,591
48,2015-07-10,Self/Less,26000000,12279691,33667319,"Comedy, Drama",6.94,Tangerine,7.0,314
21,2015-07-10,Baahubali: The Beginning,40000000,6738000,26736665,"Science Fiction, Mystery, Thriller",19.131,Self/less,6.3,1815
21,2015-07-10,Baahubali: The Beginning,40000000,6738000,26736665,"Family, Animation, Adventure, Comedy",9.338,Minions,6.4,7343
21,2015-07-10,Baahubali: The Beginning,40000000,6738000,26736665,"Horror, Thriller",9.166,The Gallows,4.8,591
21,2015-07-10,Baahubali: The Beginning,40000000,6738000,26736665,"Comedy, Drama",6.94,Tangerine,7.0,314
27,2015-07-10,Strangerland,10000000,17472,161097,"Science Fiction, Mystery, Thriller",19.131,Self/less,6.3,1815
27,2015-07-10,Strangerland,10000000,17472,161097,"Family, Animation, Adventure, Comedy",9.338,Minions,6.4,7343
27,2015-07-10,Strangerland,10000000,17472,161097,"Horror, Thriller",9.166,The Gallows,4.8,591
27,2015-07-10,Strangerland,10000000,17472,161097,"Comedy, Drama",6.94,Tangerine,7.0,314
36,2018-12-21,Aquaman,160000000,335061807,1146894640,"Action, Adventure, Science Fiction",43.078,Bumblebee,6.5,2425
36,2018-12-21,Aquaman,160000000,335061807,1146894640,"Action, Adventure, Fantasy",38.102,Aquaman,6.8,6155
36,2018-12-21,Aquaman,160000000,335061807,1146894640,"Drama, Comedy, Fantasy",22.032,Welcome to Marwen,6.6,286
36,2018-12-21,Aquaman,160000000,335061807,1146894640,"Romance, Comedy",16.322,Second Act,6.2,361
62,2018-12-21,Bumblebee,102000000,127195589,465195589,"Action, Adventure, Science Fiction",43.078,Bumblebee,6.5,2425
62,2018-12-21,Bumblebee,102000000,127195589,465195589,"Action, Adventure, Fantasy",38.102,Aquaman,6.8,6155
62,2018-12-21,Bumblebee,102000000,127195589,465195589,"Drama, Comedy, Fantasy",22.032,Welcome to Marwen,6.6,286
62,2018-12-21,Bumblebee,102000000,127195589,465195589,"Romance, Comedy",16.322,Second Act,6.2,361
