genre_ids,popularity,release_date,title,vote_average,vote_count
"Crime, Action, Thriller",16.862000000000002,2011-08-23,Blitz,6.0,772
"Animation, Family, Adventure, Comedy, Fantasy",16.533,2011-07-29,The Smurfs,5.6,2112
"Animation, Family",16.408,2011-02-11,Gnomeo & Juliet,5.8,1085
"Action, Science Fiction, Thriller, Western",16.293,2011-07-29,Cowboys & Aliens,5.5,3110
"Horror, Thriller",16.197,2011-04-01,Insidious,6.9,3582
"Horror, Mystery",16.082,2011-04-11,Scream 4,6.2,1610
"Horror, Action, Thriller, Crime",16.064,1996-01-19,From Dusk Till Dawn,7.0,3015
"Crime, Comedy, Action",16.024,2011-02-18,"Big Mommas: Like Father, Like Son",5.5,623
"Drama, Action, Thriller, Crime",15.875,2011-09-16,Drive,7.5,6737
"Crime, Adventure, Action, Comedy, Thriller",15.542,2011-10-21,Johnny English Reborn,6.1,1810
Drama,15.478,2011-09-09,Warrior,7.8,2189
Drama,15.392999999999999,2011-09-22,Moneyball,7.1,2255
"Horror, Comedy, Thriller",15.335999999999999,2012-04-12,The Cabin in the Woods,6.5,4185
"Fantasy, Horror",15.318,2011-05-13,Priest,5.5,1157
"Adventure, Comedy, Science Fiction",15.234000000000002,2011-03-17,Paul,6.5,3017
"Action, Adventure, Thriller",15.135,2011-09-23,Killer Elite,6.2,1093
"Action, Comedy, Crime",15.067,1984-11-30,Beverly Hills Cop,7.1,1827
"Music, Comedy, Action, Crime",14.882,1980-06-17,The Blues Brothers,7.7,1972
"Action, Science Fiction, Drama",14.811,2011-10-06,Real Steel,6.8,4566
"Fantasy, Action, Drama",14.774000000000001,2011-11-11,Immortals,5.8,1431
"Animation, Comedy, Family",14.738,2011-04-01,Hop,5.6,611
"Thriller, Action, Crime",14.712,1995-08-25,Desperado,6.8,1440
"Animation, Adventure, Comedy, Family",14.695,2011-04-15,Rio,6.6,3730
Thriller,14.525,2005-01-19,Assault on Precinct 13,6.1,501
"Action, Crime, Comedy",14.501,2011-01-13,The Green Hornet,5.5,1897
"Animation, Comedy, Family, Western, Adventure",14.462,2011-03-03,Rango,6.6,3412
"Action, Fantasy, Thriller",14.415999999999999,2011-03-25,Sucker Punch,6.0,2716
"Thriller, Science Fiction, Mystery",14.39,2011-06-09,Super 8,6.7,3934
"Action, Thriller, Crime",14.387,2011-01-28,The Mechanic,6.3,1676
"Comedy, Romance",14.203,2011-01-21,No Strings Attached,6.2,2612
"Crime, Action",14.173,2011-03-28,Kill Bill: The Whole Bloody Affair,7.9,363
"Fantasy, Thriller, Action, Crime",14.095999999999998,2011-02-24,Drive Angry,5.3,959
"Comedy, Crime",14.058,2011-07-08,Horrible Bosses,6.5,3842
"Romance, Comedy",14.019,2011-07-21,Friends with Benefits,6.6,4637
"Action, Adventure, Drama, Thriller",13.86,1996-03-15,Executive Decision,6.1,402
"Drama, Horror, Crime",13.787,2011-10-07,The Human Centipede 2 (Full Sequence),4.6,596
"Science Fiction, Thriller, Romance",13.717,2011-03-04,The Adjustment Bureau,6.6,2615
Comedy,13.549000000000001,2011-06-19,Bad Teacher,5.5,2894
"Action, Adventure, Thriller, Drama",13.514000000000001,1997-02-07,Dante's Peak,5.9,783
"Thriller, Science Fiction, Mystery",13.495,2011-04-01,Source Code,7.2,4529
"Horror, Mystery",13.392000000000001,2011-08-12,Final Destination 5,6.0,1701
"Comedy, Drama, Romance",13.277000000000001,2011-07-29,"Crazy, Stupid, Love.",7.2,4585
"Fantasy, Comedy, Romance",13.171,2011-05-20,Midnight in Paris,7.5,3965
